                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8771,                 3.2205,                   1.16,                0.00171,                0.39147,                0.00749,                 0.0023,                 1.5429,                 3.9318,                 1.0816,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.6595,                 2.2119,                 1.1847,                0.96594,                0.47725,                0.49387,                0.26211,                 1.6308,                 2.5038,                 1.2016,             0.00099043,             0.00099043,             0.00099043
                      3,                  1.623,                 1.9746,                 1.1485,                0.88779,                0.67301,                0.76723,                0.39661,                 1.6069,                 1.8305,                 1.1664,              0.0013272,              0.0013272,              0.0013272
                      4,                 1.5661,                 1.7271,                 1.1315,                0.96603,                0.83018,                 0.8623,                0.44032,                 1.5824,                 1.5409,                 1.1462,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.5848,                 1.5349,                 1.1555,                0.90649,                0.78956,                0.82207,                0.42644,                 1.5719,                 1.3623,                 1.1196,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.5586,                 1.4255,                 1.1737,                0.84474,                0.74264,                0.80593,                0.45814,                 1.5075,                 1.3317,                  1.123,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.5506,                 1.3733,                 1.1381,                0.95288,                0.80926,                0.85129,                0.46963,                 1.5453,                 1.2607,                 1.1345,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.5728,                 1.3358,                 1.1342,                0.85069,                0.83074,                0.84847,                0.47914,                 1.5239,                 1.2252,                 1.1165,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.5115,                 1.2415,                 1.1428,                0.89034,                0.83794,                0.87763,                0.49539,                 1.5014,                  1.151,                 1.1123,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.4949,                 1.1494,                 1.1225,                0.89188,                0.86686,                0.89568,                0.50839,                 1.4873,                 1.1358,                 1.1013,             0.00034674,             0.00034674,             0.00034674
